item	name	nominal	frame	frame2	type	placerec	stressrec	stresslessrec	picture
prague	Prague	Pragueization	This is a photo of the city of	.	test	prague.mp3	prague_stressed.mp3	prague_stressless.mp3	prague.jpg
quebec	Quebec	Quebecization	This is a photo of a city in	.	test	quebec.mp3	quebec_stressed.mp3	quebec_stressless.mp3	quebec.jpg
chad	Chad	Chadization	This is a photo of a beach in	.	test	chad.mp3	chad_stressed.mp3	chad_stressless.mp3	chad.jpg
rome	Rome	Romeization	This is a photo of a historic site in	.	test	rome.mp3	rome_stressed.mp3	rome_stressless.mp3	rome.jpg
japan	Japan	Japanization	This is a photo of a castle in	.	test	japan.mp3	japan_stressed.mp3	japan_stressless.mp3	japan.jpg
bronx	Bronx	Bronxization	This is a photo of a street in the	.	test	bronx.mp3	bronx_stressed.mp3	bronx_stressless.mp3	bronx.jpg
vermont	Vermont	Vermontization	This is a photo of fall foliage in	.	test	vermont.mp3	vermont_stressed.mp3	vermont_stressless.mp3	vermont.jpg
france	France	Franceization	This is a photo of a plaza in	.	test	france.mp3	france_stressed.mp3	france_stressless.mp3	france.jpg
basque	Basque	Basqueization	This is a photo of the	 Country.	test	basque.mp3	basque_stressed.mp3	basque_stressless.mp3	basque.jpg
minsk	Minsk	Minskization	This is a photo of the city of	.	test	minsk.mp3	minsk_stressed.mp3	minsk_stressless.mp3	minsk.jpg
providence	Providence	Providenceization	This is a photo of the	 skyline.	test	providence.mp3	providence_stressed.mp3	providence_stressless.mp3	providence.jpg
senegal	Senegal	Senegalization	This is a photo of a beach in	.	test	senegal.mp3	senegal_stressed.mp3	senegal_stressless.mp3	senegal.jpg
indianapolis	Indianapolis	Indianapolisization	This is a photo of the 	 skyline.	test	indianapolis.mp3	indianapolis_stressed.mp3	indianapolis_stressless.mp3	indianapolis.jpg
antarctica	Antarctica	Antarcticanization	This is a photo of an ice formation in	.	test	antarctica.mp3	antarctica_stressed.mp3	antarctica_stressless.mp3	antarctica.jpg
bloomington	Bloomington	Bloomingtonization	This is a photo of a courthouse in	.	test	bloomington.mp3	bloomington_stressed.mp3	bloomington_stressless.mp3	bloomington.jpg
mexico	Mexico	Mexicanization	This is a photo of a historic site in	.	test	mexico.mp3	mexico_stressed.mp3	mexico_stressless.mp3	mexico.jpg
michigan	Michigan	Michiganization	This is a photo of a national park in	.	test	michigan.mp3	michigan_stressed.mp3	michigan_stressless.mp3	michigan.jpg
oberlin	Oberlin	Oberlinization	This is a photo of a street in	.	test	oberlin.mp3	oberlin_stressed.mp3	oberlin_stressless.mp3	oberlin.jpg
madison	Madison	Madisonization	This is a photo of a college campus in	.	test	madison.mp3	madison_stressed.mp3	madison_stressless.mp3	madison.jpg
rochester	Rochester	Rochesterization	This is a photo of the	 skyline.	test	rochester.mp3	rochester_stressed.mp3	rochester_stressless.mp3	rochester.jpg
egypt	Egypt	Egyptization	This is a photo of a river in	.	test	egypt.mp3	egypt_stressed.mp3	egypt_stressless.mp3	egypt.jpg
wyoming	Wyoming	Wyomingization	This is a photo of a mountain range in	.	test	wyoming.mp3	wyoming_stressed.mp3	wyoming_stressless.mp3	wyoming.jpg
cuba	Cuba	Cubanization	This is a photo of a street in	.	test	cuba.mp3	cuba_stressed.mp3	cuba_stressless.mp3	cuba.jpg
brooklyn	Brooklyn	Brooklynization	This is a photo of 	.	test	brooklyn.mp3	brooklyn_stressed.mp3	brooklyn_stressless.mp3	brooklyn.jpg
austin	Austin	Austinization	This is a photo of the	 skyline.	test	austin.mp3	austin_stressed.mp3	austin_stressless.mp3	austin.jpg
texas	Texas	Texasization	This is a photo of a historic site in	.	test	texas.mp3	texas_stressed.mp3	texas_stressless.mp3	texas.jpg
phoenix	Phoenix	Phoenixization	This is a photo of the	 skyline.	test	phoenix.mp3	phoenix_stressed.mp3	phoenix_stressless.mp3	phoenix.jpg
alaska	Alaska	Alaskanization	This is a photo of a trail in	.	test	alaska.mp3	alaska_stressed.mp3	alaska_stressless.mp3	alaska.jpg
russia	Russia	Russianization	This is a photo of some cows in	.	test	russia.mp3	russia_stressed.mp3	russia_stressless.mp3	russia.jpg
iceland	Iceland	Icelandization	This is a photo of a lagoon in	.	test	iceland.mp3	iceland_stressed.mp3	iceland_stressless.mp3	iceland.jpg
brazil	Brazil	Brazilization	This is a photo of a subway in	.	train	brazil.mp3	brazil_stressed.mp3	brazil_stressless.mp3	brazil.jpg
saskatchewan	Saskatchewan	Saskatchewanization	This is a photo of a national park in	.	train	saskatchewan.mp3	saskatchewan_stressed.mp3	saskatchewan_stressless.mp3	saskatchewan.jpg
