item	picture
prague	prague.jpg
quebec	quebec.jpg
chad	chad.jpg
rome	rome.jpg
japan	japan.jpg
bronx	bronx.jpg
vermont	vermont.jpg
france	france.jpg
basque	basque.jpg
minsk	minsk.jpg
providence	providence.jpg
senegal	senegal.jpg
indianapolis	indianapolis.jpg
antarctica	antarctica.jpg
bloomington	bloomington.jpg
mexico	mexico.jpg
michigan	michigan.jpg
oberlin	oberlin.jpg
madison	madison.jpg
rochester	rochester.jpg
egypt	egypt.jpg
wyoming	wyoming.jpg
cuba	cuba.jpg
brooklyn	brooklyn.jpg
austin	austin.jpg
texas	texas.jpg
phoenix	phoenix.jpg
alaska	alaska.jpg
russia	russia.jpg
iceland	iceland.jpg
brazil	brazil.jpg
saskatchewan	saskatchewan.jpg
